Real Formula,Prediction Formula
"[ 4 , + \infty )","[ 4 , + \infty ) "
"b e , d c","b f , d c "
"( - 1 , - 2 )","( - 1 , - 2 ) "
\frac { 1 } { 3 },\frac { 1 } { 3 } 
b m,\text { i m } 
\triangle a b c,\triangle a b c 
a _ { 1 } = 3,a _ { 1 } = 3 
"[ 0 , 1 ]","[ 0 , 1 ] "
\sqrt { a } > \sqrt { b },\sqrt { a } 
y = k x + 1,y = k x + 1 
s _ { 1 0 0 },s _ { 1 0 } 
a \perp b,a \perp b 
a _ { 3 },a _ { 3 } 
\triangle a b c,\triangle a b c 
c > 0,c > 0 
- 1,- 1 
f ( x ),f ( x ) 
f ( x ),f ( x ) 
"[ - 3 , 2 )","[ - 3 , 2 ) "
a b c = 1,a b c = 1 
s _ { n },s _ { n } 
2 m x + 1 > 0,\text { c m } x + 1 0 
c > b > a,c > b > a 
k _ { o a },k _ { 7 } \text { b } _ 7 \text b
y = x ^ { 3 },y = x ^ { 3 } 
9 5 1 \sim 1 0 0 0,"5 ( 1 4 , 1 0 0 ) "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
q c = \sqrt { b },c q = \sqrt { 6 } 
a _ { 1 },a _ { 1 } 
"( 3 , 4 )","( 3 , 4 ) "
x _ { 2 },x _ { 2 } 
"b c , a d","b c , r ) "
a _ { n },\text { \lambda } 
y = 2 x - 4,y = 2 x - 4 
\frac { z } { \mathrm { i } },\frac { 7 } { 1 } 
1 0 0 0,1 0 0 
"a ( 5 , 0 )","a ( 5 , 0 ) "
"x \in [ 0 , \pi )","x \in [ 0 , y ) "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
| o a | = | o f |,| o a | = o f 
= f ( x ) g ( x ),"= ( x ) , "
x \geqslant 4,x \geqslant 4 
"( 1 0 , 0 )","( 0 , 0 ) "
\cos \lambda,\cos a 
x ^ { 2 } = 4 y,x ^ { 2 } = 4 y 
q ^ { 2 },s ^ { 2 } 
"a , b","a , b "
i,i 
x > y > 0,x > y > 0 
x \geqslant - 2,x \geqslant - 2 
y ^ { 2 } = 2 4 x,y = 2 x 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
"m , n","m , n "
a c : y,a c : 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
x,x 
"( 0 , + \infty )","( 0 , + \infty ) "
"p , q","p , q "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\sin 2 \alpha,\sin 2 \alpha 
r = | m + 2 |,x = n + 2 | 
| p m | \cdot | a b |,| p m | \cdot \lambda b 
f ( x ) > 0,f ( x ) > 0 
\frac { 5 } { 6 },\frac { 5 } { 6 } 
p _ { n },p _ { n } 
( - 1 ) ^ { n },( - 1 ) ^ { n } \right) 
c _ { 1 } :,\text { c . } 1 
\ne g q,\ne g q 
a = \sqrt { 2 },a = \sqrt { 2 } 
\triangle a b c,\triangle a b c 
\alpha l - \beta,x \subset \beta 
m n < 0,m x > 0 
e ^ { x + 1 },e ^ { e } 
k = k + i,| k | x x
s = 7,s = 7 
p q,p q 
"f ( 0 , 1 )","f ( 0 , 1 ) "
x + 2 y = 1,x + 2 y = 1 
"( 2 , 3 )","( 2 , 3 ) "
b m,b m 
a _ { 7 },a > 
a _ { + },"a _ { \mathrm { , a "
\omega =,\omega = 
\sin b = m \sin c,\sin b = m \sin c 
6 0 ^ { \circ },0 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
b > 0 \text { ) },b > 0 ) 
\ a n g l e a b c,\ a n g l e a b c 
a = \frac { 1 } { 2 },a = \frac { 1 } { 5 } 
\frac { 2 7 } { 1 2 5 },\frac { 2 7 } { 1 5 5 1 } 
g ^ { \prime } ( . x ),g ^ { \prime } ( x ) 
9 : 4 : 1,"0 , : 1 : 1 "
f ( x ) = - x + 1,f ( x ) = - x + 1 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
"a , b , c , d","a , b , c d "
0 < q < 1,0 < p < 1 
a \cdot b,a . b 
"\{ - 1 , 0 , 1 , 2 \}","\{ - 1 , 0 , 1 2 \} "
\triangle a b c,\triangle a b c 
"a , b , c","a , b , c "
g ( - x ),g ( - x ) 
"[ 0 , + \infty )","[ 0 , + \infty ) "
1 5 0 ^ { \circ },1 5 0 ^ { \circ } 
"[ 4 , 2 \sqrt { 7 } ]","[ 4 , 2 \sqrt { 7 } ] "
0 < m < 4,0 < m < 4 
a _ { 6 },a _ { 0 } 
x \in,x \in 
a b \in s,a b \in s 
"[ - 3 , 2 )","[ - 3 , 2 ) "
m \perp \beta,m \perp \beta 
( ) ( ) ^ { \prime },o t 0 
b > c > a,b > c > a 
\triangle a b c,\triangle a b c 
f ( x ) \in,f ( x ) \in 
\text { ( 1 ) } \triangle a b c,\text { ( 1 0 } 
k _ { 0 },k _ { 0 } 
p _ { i } ( i =,p _ { 2 } ( i = 
s _ { n },s _ { n } 
"a c , a d","a c , a i ) "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\frac { 1 } { 2 },\frac { 1 } { 2 } 
"( - 1 4 , 2 0 )",( - 1 . 2 . 0 ] 
c _ { 1 },c _ { 1 } 
\triangle a b c,\triangle a b c 
1,1 
t _ { n },t _ { n } 
\frac { p o } { o q },\frac { d m } { 0 } 
"[ - 1 , 1 )","[ - 1 , 1 ] "
c : y ^ { 2 } = 4 x,c : y = 4 x 
p - a b c,p - a b c 
| \boldsymbol { b } | = 1,b = 1 
f ( x ),f ( x ) 
a b = 1,a b = 1 
\bar { x } =,x = 
\triangle a b c,\triangle a b c 
x _ { 1 7 3 },x _ { i } x 
c _ { 1 },c _ { 1 } 
e - b c - f,7 = p b - f 
/ \mathrm { k g },\sigma _ { 8 } 
"[ 6 , + \infty )","[ 6 , + \infty ) "
\triangle a b c,\triangle a b c 
f ( x ),f ( x ) 
g ( x ),g ( x ) 
\log _ { 0 . 7 } 5,\log _ { 0 } 0 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
( a + b ) \perp b,( a + b ) \perp b 
b e \perp,b e \perp 
m ( a ),m ) 
"( 2 , 3 )","( 2 , 3 ) "
x - y + 6 = 0,x - y + 6 = 0 
n ^ { 2 } - 1,n ^ { 2 } - 1 
\alpha,\alpha 
( m \infty x + \infty ),"( - \infty , + \infty ) "
f ( x ),f ( x ) 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
f ( x ),f ( x ) 
f ( 0 ),f ( 0 ) 
"x \in ( 0 , + \infty )","x \in ( 0 , + \infty ) "
b c,b c 
n / / \alpha,n / / \alpha 
f ( x ),f ( x ) 
y ^ { 2 } = 2 x,y ^ { 2 } = 2 x 
x = 1,x = 1 
\lambda m / /,a m / / 
"( - \infty , 1 ]","( - \infty , 1 ] "
x = \frac { \pi } { 3 },x = \frac { \pi } { 3 } 
n \geqslant 2,n \geqslant 2 
\frac { 2 } { 3 },\frac { 2 } { 3 } 
y > 0,y > 0 
"( 0 , + \infty )","( 0 , + \infty ) "
n + a =,n + n = 
y ^ { 2 } = x,y ^ { 2 } = x ^ { 2 } = x
= \lambda \overrightarrow { m d },= 2 m d } 
\frac { 4 } { 3 },\frac { 4 } { 3 } 
a + 2 b - 3 a b = 0,"x + \cos \theta , c = 0 "
"a ( 2 , 0 )","a ( 2 , 0 ) "
\log _ { 2 x } y = 1,\log _ { 2 } x = 1 
i > 5 ?,r > 5 
s _ { n },s _ { n } 
"( - \infty , 1 )","( - \infty , 1 ) "
b = \frac { 1 } { 4 },b = \frac { 1 } { 4 } 
f _ { 2 },f _ { 2 } 
p a,i \wedge 
z = x + y i,z = x + y i ^ { i 
\triangle m a b,\triangle m a b 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
f ( x ) = k x + 1,f ( x ) = | x + 
f ( x ),f ( x ) 
\frac { 2 } { 9 },\frac { 2 } { 9 } 
"m , n ]","[ m , m ] "
y ^ { 2 } = 1,y ^ { 2 } = 1 
| m - n |,| m x - a | 
\triangle a b d,\triangle a b d 
\frac { 2 } { 5 },\frac { 2 } { 5 } 
a p \perp,a p \perp 
"[ 1 , 3 ]","[ 1 , 3 ] "
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
1 - 3 p,1 - 3 9 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
z ^ { 2 0 1 9 } =,z _ { 2 } 0 = 
\left\{ b _ { n } \right\},\left\{ b _ { n } \right\} 
a,a 
"( 0 , 1 )","( 0 , 1 ) "
"[ 0 , 4 ]","[ 0 , 4 ] "
\mu,\mu 
\overrightarrow { e b } =,\overrightarrow { e b } = 
\sqrt { 2 },\sqrt { 2 } 
\mathbf { n },^ { 4 } 
"( 1 , 0 )","( 0 , 1 ) "
"a > 0 , b > 0","a > 0 , a > 0 "
\left\{ c _ { n } \right\},\left\{ c _ { n } \right\} 
k < 1 1 ?,k < 1 1 ? 
a _ { 3 },a _ { 3 } 
f ^ { \prime } ( x ) > 0,f ( x ) > 0 
\ a n g l e a f d =,\ a n g l e a e d = 
( a \in \mathbf { r } ),( a \in \mathbf { r } ) 
0 < c < 1,0 < c < 1 
a c \perp b c,a c \perp b c 
\frac { 7 } { 1 6 },\frac { 7 } { 1 6 } 
s _ { 4 },s _ { 4 } 
x > 2,x > 2 
x ^ { 2 },x ^ { 2 } 
s \lambda = \lambda b = 1,2 4 = 2 \lambda b = 1 
b _ { 1 } m \perp a e,b _ { 1 } a \perp a f 
y = f ( x ),x ) = f ( x )
\frac { 1 } { 5 },\frac { 1 } { 5 } 
"( - \infty , 0 ]","( - \infty , 0 ] "
"( 1 , + \infty )","1 , + \infty ) "
b _ { 1 } d _ { 1 },b _ { 1 } d _ { 1 } 
x + y = a,x + y = a 
\frac { 1 } { 9 },\frac { 1 } { 9 } 
"( 0 , 1 )","( 0 , 1 ) "
"[ - 2 , 1 ]","[ - 2 , 1 ] "
a > 0,a > 0 
\frac { 1 6 } { 3 },\frac { 9 } { 3 } 
f ( x ) = x \sin x,f ( x ) = x \ln 
\text { p m 2 . } 5,\text { p m q . } 
\sin 2 a +,\sin a \perp 
"( 1 , 0 )","( 1 , 0 ) "
c _ { m },c _ { m } 
a > b,a > b 
"1 2 , \frac { 3 } { 4 }",\text { d . } { 4 } 
5 0 8 \pi,5 0 8 \pi 
"m = 3 , n = 1","m = 3 , n = 1 "
1 0 5 \mathrm { ~ c m },p \tan \alpha = 
a _ { 1 0 } > 1 0,a _ { 1 0 } 
f ( m ),"f ( m , q ) "
s _ { 1 0 } = 4,s _ { 1 0 } = 4 
\triangle a b c,\triangle a b c 
\triangle m n q,\triangle m n q 
a \log _ { 3 } 4 = 2,a \log _ { 5 } = 2 
"( 0 , 1 )","( 0 , 1 ) "
- \frac { 5 } { 2 } i,- \frac { 5 } { 5 } 
x ^ { 2 } + 4 x + 4,x ^ { 2 } + 4 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\ a n g l e b =,\ a n g = b ^ { b } = 
s _ { 2 },s _ { 2 } 
5 0 5,5 0 
d ( d \neq 0 ),a b ( a \neq 0 ) 
"[ - \pi , \pi ]","[ - \pi , \pi ] "
a _ { 1 },a _ { 1 } 
1 - x ^ { 2 },1 - x ^ { 2 } 
f ( x ) > 0,f ( x ) > 0 
2 a + b = 4 a b,6 + b + 1 ) f ( b ) 
a d c,a d c 
- 2 \pi,- 2 \pi 
a \in \mathbf { r },x \in \mathbf { r } 
"( - \infty , 0 ]","( - \infty , 0 ] "
a _ { 1 0 } > 1 0,a _ { 0 } > 1 0 
\frac { \sqrt { 3 } } { 4 },\frac { \sqrt { 3 } } 4 
f ( x ),f ( x ) 
a > b,a > b 
"( 3 , + \infty )","( 3 , + \infty ) "
z = - 3 + 2 i,"z = - 3 , i "
\{ x \mid x < - 1 \},\{ x \mid x < - 1 \} 
\sqrt { b + 3 },\sqrt { 2 } + 3 ] 
i > 2 0 3 ?,i > 2 0 5 ? 
"x \geqslant 1 ,","x \geqslant 1 , "
p a = a b = 2,p a = a b = 2 
a _ { 1 } = 1,a _ { 1 } { 4 } 
4 \sqrt { 2 },4 \sqrt { 2 } 
f ( 2 ) =,f ( 2 ) = 
"\{ 1 , 4 \}","\{ 1 , 4 \} "
k \leq s l a n t 2,k \leq s l a n t 2 
"m ( 0 ,","m ( 0 , "
y \geqslant x,x \geqslant x 
"( a > 0 , b > 0 )","( a > 0 , b > 0 ) "
1 3 h,b f 
\tan x,\tan \alpha 
a _ { 1 } m,a _ { 1 } m 
\l g 2,1 \mathrm { k g } ^ { 1 } ^ 2 
"f ( 1 , 0 )","f ( 1 , 0 ) "
\triangle e c a,\triangle e c c 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
"( - 1 , 3 )","( - 1 , 3 ) "
m = c ^ { 2 } = 4,n = e ^ { 2 } = 4 
x = \frac { 1 } { 2 },x = \frac { 1 } { 2 } 
f ^ { \prime } ( x ) > 0,f ( x ) > 0 
0 . 4 3 0,0 . 4 0 
\frac { n } { 5 },\frac { 3 } 
\frac { 5 } { 9 },\frac { 5 } { 9 } 
\frac { 2 7 } { 1 9 },\frac { 2 7 } { 1 6 } 
n ( n \geqslant 2 ),n ( n \geqslant 2 y ) 
5 4 . 5,5 4 . 5 
\frac { 2 0 } { 3 },\frac { 2 } { 3 } 
"x \in [ - 2 , 2 ]","x \in [ - 2 , 2 ] "
f ( x ),f ( x ) 
"( 0 , 1 0 0 0 ]","( 0 , 1 0 ] "
"a , b , c","a , b , c "
x _ { i },x _ { i } 
\left\{ a _ { n } \right\},\left\{ a _ { n } \right\} 
f ( x ),f ( x ) 
\frac { 1 } { 1 2 },\frac { 1 } { 1 2 } 
x ^ { 5 } + 1,x ^ { 3 } + 1 
b = 2,b = 2 
"a , b","a , b "
