str1,str2
f(a+,\left\{a_{n}\right\}
"N(1,4)",60 \sim 65
\triangle A B C,\triangle A B C
"(0, \sqrt{3})","(0,1)"
f(x),g(x)
"(1,2]","(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle P A D,\triangle A B C
A-B C D,\triangle A B C
B F \perp H F,"[60, t+1]"
a \cdot b=0,60 \sim 65
y=f(x),c<\frac{1}{4}
V_{1},A D_{1}
G,S_{5}
f(x)=1,a_{i}=
l_{1},\boldsymbol{F}_{1}
Q G,"(-\infty, a)"
\triangle A B C,\triangle A B C
l=24,y=\sin x
"(0,1]","(0,1)"
n=n+2,c<\frac{1}{4}
30 \%,60 \sim a_{n
"(-1,0)","(-\infty, a)"
"(-\infty, 1)",\left\{a_{n}\right\}
f(a)=4,"(-\infty, a)"
F_{1},\boldsymbol{F}_{1}
"(2,1)",(x)
y=x,c<\frac{1}{4}
a+b,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(1,3)","(0,1)"
g(x),(x)
x \in \mathbf{R},F_{1}
f^{\prime}(x),f(x)
y=-x,y=0
\frac{1}{3},\frac{1}{3}
n \geqslant 4,c_{m}
"D E, B F",\ln |x-y|<0
0.6931,"(-\infty, a)"
\frac{7}{12},\frac{1}{3}
"F(0,1)","(-\infty, a)"
E F,-\frac{\pi}{6}
\hat{\mu},\frac{16}{3}
T_{2020},\left\{a_{n}\right\}
\sin \theta \cos \theta,\ln |x-y|<0
"\Lambda, B, C",\sqrt{3}+1
"[-3,5]","[1,3]"
\triangle A B C,\triangle A B C
A C_{1},\triangle B C
-1-i,c<\frac{1}{4}
x_{0},\sqrt{3}
"a \in[-2,0]",\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=-x,y=\sin x
"[90,100]","[60,70]"
"A, B, C",S_{5}
f(x),f(x)
a=0,"(0,1)"
y=x,y=x
l_{1},\boldsymbol{F}_{1}
6 \sqrt{2},\sqrt{3}+1
k+1,c<\frac{1}{4}
D(\xi),"(0,1)"
f(x),c_{m}
A_{1},T_{n}
\left\{a_{n}\right\},\left\{a_{n}\right\}
4 \sqrt{3} \pi,\sqrt{3}+1
\xi,-\frac{3}{2}
y=-3,\ln |x-y|<0
b=2,\left\{a_{n}\right\}
A_{1},A C=4
y \mathrm{~km},\triangle B C Q
A_{2} Q,"(-\infty, a)"
a-c>b-d,\left\{a_{n}\right\}
h(a),"(0,1)"
A B=2,"(-\infty, a)"
t_{2},\frac{\pi}{3}
A B_{1},\boldsymbol{e}_{1}
A C E F \perp,\left\{a_{n}\right\}
m=-1,c<\frac{1}{4}
\frac{1}{4},\frac{1}{3}
S_{5},\left\{a_{n}\right\}
f(x),f(x)
S_{2 n},\frac{16}{3}
c>a>b,A C=4
a_{1}=0,"(0,1)"
i=i+1,a_{i}=
\frac{a}{b}=,\sqrt{3}+1
A_{1},\boldsymbol{e}_{1}
O()^{\prime},\left\{a_{n}\right\}
C D \perp,"(-\infty, a)"
\bar{z}=,A C=4
"\Lambda(i, I)",A C=4
C_{3},S_{5}
A B C D,\triangle A B C
\frac{2}{3},\frac{16}{3}
a>0,\sqrt{3}+1
F_{1},A_{1}
\frac{1}{4},\frac{16}{3}
A \cup B,A C=4
\frac{1}{2},\frac{1}{3}
\frac{32}{81},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
-1<q<0,-\frac{\pi}{6}
t=\cos x,\ln |x-y|<0
A \cdot \omega \cdot \varphi,\left\{a_{n}\right\}
\overrightarrow{O M},60 \sim 65
f(x),f(x)
x=1,"[0,1]"
f^{\prime}(x),"(-\infty, a)"
T_{n},A C=4
S_{1}=S,-\frac{\pi}{6}
P(0<X<4),\ln |x-y|<0
\frac{7}{15},\frac{1}{3}
|P Q|,"[60,70]"
a \in,T_{n}
\triangle A B C,\triangle A B C
C_{2},S_{5}
\beta \perp \gamma,A C=4
\lambda=,-\frac{\pi}{6}
a \in \mathbf{R},\ln |x-
"A(1,2)","(-\infty, a)"
\overrightarrow{O B}=b,\ln |x-y|<0
x=-4,-\frac{\pi}{3}
B E D_{1},"[1,3]"
\triangle A F D,\triangle A B C
z=x+a y,\left\{a_{n}\right\}
\frac{\pi}{6},\frac{16}{3}
"(1,1)","(0,1)"
-\sqrt{2},\sqrt{3}
P-C D-E,y=\sin x
\sqrt{5},\sqrt{3}
A C \perp P B,"(-\infty, a)"
S=2 x+y,\triangle B P Q
m / / \beta,m / / n
f(x),g(x)
\pm \sqrt{2},\sqrt{3}+1
\sin (\alpha+\beta)=,\ln |x-y|<0
C_{2},S_{5}
x_{0}<c,>0
B C=3,60 \sim 65
D E \perp,\sqrt{3}+1
f(x),f(x)
a=,z=
f(x),f(x)
\pi,"[1,3]"
"t \in(2,3]",60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
105^{\circ},"[60,70]"
\triangle A B P,\triangle A B C
f(x),f(x)
"1+i, i",\left\{a_{n}\right\}
a>0,(\rho \geqslant 0)
l_{2},\boldsymbol{F}_{1}
-\frac{1}{3},-\frac{\pi}{3}
f(x),f(x)
f(x),f(x)
r=4,\boldsymbol{e}_{1}
g(x),(x)
D(X)=0.4,60 \sim 65
A D=1,"[1,3]"
"A(-2,2)",60 \sim 65
f(x),c<\frac{\pi}{3}
\pi,\boldsymbol{e}_{1}
a=,z=
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0, m)","(0,1)"
63 \pi,\left\{a_{n}\right\}
S_{n},\frac{1}{3}
"x \in(0,+\infty)",\ln |x-y|<0
\left\{n a_{n}\right\},\left\{a_{n}\right\}
F_{2},F_{1}
n \perp \beta,\sqrt{3}
a_{n},A C=4
\triangle A P C,\triangle A B C
f(\ln 2)=8,60 \sim 65
e=\frac{1}{2},e=\frac{2}{3}
n=k,\left\{a_{n}\right\}
c>a>b,A C=4
a_{3},A C=4
|c-a-b|=1,\left\{a_{n}\right\}
y=\pm x,c<\frac{1}{4}
b>-2,c<\frac{1}{4}
-\frac{\pi}{2},-\frac{\pi}{6}
X \neq Y,\triangle A B C
"(0,2]","(0,1)"
P-A B C,\ln |x-y|<0
x \geqslant 0,"5(0,1)"
30^{\circ},"(-\infty, a)"
x \geqslant 175,A C=4
a / / b,m / / n
n \subset \alpha,\triangle B C
(-(x)+1),\ln |x-y|<0
\left\{a_{n}\right.,\left\{a_{n}\right\}
x>1,c_{1}
x+2 y-2=0,\left\{a_{n}\right\}
\triangle O P Q,\triangle A B C
\left\{a_{n}+1\right\},\ln |x-y|<0
45^{\circ},S_{5}
a=2,T_{n}
\triangle A O B,\triangle A B C
y=x+a y,c<\frac{\pi}{4}
\alpha / / \beta,\sqrt{3}
4 \mathrm{~m},80 \%
x_{0},\left\{a_{n}\right\}
F(x),f(x)
-1<x<1,c<\frac{1}
a>0,"(0,1)"
A D=2,"(-\infty, a)"
"x, y",\left\{a_{n}\right\}
D C \perp,"[60, t+1]"
8 \sqrt{3},\sqrt{3}+1
A \cap B=,\ln |x-y|<0
\frac{\pi}{6},\frac{16}{3}
S_{n},\left\{a_{n}\right\}
x \pm y=0,S_{5}
x^{3},\left\{a_{n}\right\}
2 m,T_{n}
F_{2},\frac{1}{3}
A B C D,\triangle B C C
(n \in \mathbf{N},5(\ln |x)
4 \sqrt{2},\sqrt{3}
\frac{33}{65},80 \%
[x],F_{1}
\beta,\sqrt{3}+1
P C=2,"(-\infty, a)"
x \in,z=
\left\{a_{n}\right\},\left\{a_{n}\right\}
1-b(1-a),\ln |x-y|<0
\frac{3}{2},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
4 \sqrt{5},\sqrt{3}
B C=2,a_{n}\right\}
\frac{5}{7},\frac{16}{3}
b_{4}=10,"[0,1]"
"\in[0,4]","[60,70]"
x+y \geqslant 2,y)
x,T_{n}
m / / \alpha,m / / n
\alpha \cdot \beta,\triangle B C C
\sqrt{5},\sqrt{3}
16 \mathrm{~m},A C=4
c=1,"[0,1]"
S=k \ln I+C,\ln |x-y|<0
"(3,0)","(-\infty, a)"
\pi,\frac{1}{3}
f(0)=2,60 \sim 65
"[165,175]",\ln |x-y|<0
f(x),(x)
x=\frac{1}{8},e=\frac{2}{3}
S_{n},\frac{1}{3}
a>b>1,\triangle B C C
P_{n},\left\{a_{n}
\frac{b}{a},\frac{16}{3}
c<b<a,c<\frac{1}{4}
\omega>0,>0
S_{n},\left\{a_{n}\right\}
\triangle A B C,\triangle B P Q
n \perp m^{\prime},A C=4
y=x+\ln x,\ln |x-y|<0
B=,S_{5}
e=2.718 \cdots,\ln |x-y|<0
\triangle A B C,\triangle A B C
"(2, m)","(-\infty, a)"
/ / B C,m / / n
\lg x+\lg y,\left\{a_{n}\right\}
60^{\circ},"(-\infty, a)"
g(0)=0,\ln |x-y|<0
A \cdot B \cdot C,\triangle B C C
"M(1, m)",60 -
\frac{\pi}{3},-\frac{\pi}{6}
2 x+y+b=0,\ln |x-y|<0
f(4)=2,\left\{a_{n}\right\}
\frac{1}{2},\frac{16}{3}
"(-1,+\cdots)",A C=4
I,\boldsymbol{F}_{1}
f(x),f(x)
A C,\triangle B P Q
p \vee(\neg q),A C=4
b=,\sqrt{3}
"x, y",\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\left\{S_{n}\right\},\left\{a_{n}\right\}
P=k t+b,A C=4
A=B,y=\sin x
"x \in(0,1)",-\frac{3}{2}
f(x),"(0,1)"
\frac{24}{25},\frac{16}{3}
\triangle H D A,\triangle B P Q
2 \pi,A C=4
C_{3},S_{5}
54.7 \%,\triangle B P Q
f(2)=1,\ln |x-y|<0
\pi,\boldsymbol{e}_{1}
\frac{\pi}{3},\frac{\pi}{3}
1+\sqrt{2},"[60,70]"
"[2,+\infty)","[60,70]"
S-A B C,\ln |x-y|<0
S_{n},\sqrt{3}+1
30^{\circ},\left\{a_{n}\right\}
\frac{2 \pi}{3},\frac{16}{3}
"(-\infty, 1]","(-\infty, a)"
n=,z=
"[1,3)",\sqrt{3}+1
\frac{3 \pi}{2},\frac{\pi}{3}
n \subset \alpha,60^{\circ}
(3 !)^{1},"(0,1)"
10 \sqrt{3},\ln |x-y|<0
f(x),f(x)
\overrightarrow{B Q}=0,\triangle B P Q
60^{\circ},60^{\circ}
f(x),f(x)
\frac{47}{6},\frac{\pi}{3}
\frac{1}{2},\frac{1}{3}
a=\frac{a}{2},\boldsymbol{F}_{1}
"[60,70)","[60,70]"
", F_{2}",\sqrt{3}
f(x),(x)
x-y+3=0,\ln |x-y|<0
x=2,z=
A_{6},A D_{1}
"a, b, c",\left\{a_{n}\right\}
P-A B I),"(-\infty, a)"
"(-\infty, 0)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
k=4,T_{n}
"(3,+\infty)",\ln |x-y|<0
A C=2,\left\{a_{n}\right\}
f(x),(x)
"(8,2)","(0,1)"
y=k x,c<\frac{\pi}{4}
"\{1,2,3,4\}",60 \sim 65
\alpha \perp \beta,\triangle A B C
b=f(11),A C=4
"(0,+\infty)","(-\infty, a)"
"P(-2,1)","(-\infty, a)"
"4,3)",T_{n}
A B=P C=4,\ln |x-y|<0
\triangle A B C,\triangle A B C
s>t,a_{n}\right\}
\left|a_{n}\right|>2,c<\frac{1}{4}
y-2=0,60 \sim 65
"(-\infty,+\infty)",\left\{a_{n}\right\}
s^{2},\left\{a_{n}\right\}
2 x+y+5=0,\ln |x-y|<0
A B=4,A C=4
10 \sqrt{5},\left\{a_{n}\right\}
\frac{y}{x},\frac{16}{3}
-x^{2}+x+,\left\{a_{n}\right\}
", \triangle A B C",\triangle A B C
\frac{1}{3},\frac{16}{3}
f(x),f(x)
M \cap N=14,\left\{a_{n}\right\}
"(0,+\infty)","(-\infty, a)"
A-N F-C,A C=2
A B C D-,-\frac{3}{2}
2 \pi,T_{n}
\frac{1}{3},\frac{\pi}{3}
z=1+\cos 2 \theta,\ln |x-y|<0
x+2 y-2=0,x+y+8=x y
f(x),f(x)
\frac{1}{4},c_{m}
X=Y,-\frac{3}{2}
k \approx 4.762,-\frac{3}{2}
f(x),f(x)
B C,\sqrt{3}
\frac{\pi}{4},\frac{16}{3}
2 \pi,\sqrt{3}
b=1,\triangle B P Q
\frac{2}{7},-\frac{3}{2}
-\frac{4}{3},-\frac{\pi}{3}
l_{1},A C=4
\frac{15}{64},\frac{16}{3}
a_{6}=0,"(-\infty, a)"
"[45,55)",60 \sim 65
f(2),"(-\infty, a)"
"(4,5]","(-\infty, a)"
\triangle B O C,\triangle A B C
f(x)=,60 \sim 65
b^{2}=1,A C=4
\rho=2 \cos \theta,60 \sim 65
"(-1,4)",(\rho \geqslant 0)
F_{1}=1,\boldsymbol{F}_{1}
4^{\prime \prime},c_{m}
x=\frac{\pi}{2},-\frac{\pi}{6}
\frac{7}{25},\frac{16}{3}
f(x) \geqslant 0,60 \sim 65
"M(4,-2)",\left\{a_{n}\right\}
N=N-1,T_{n}
54 \sqrt{3},A C=4
f(x),60^{\circ}
\frac{1}{2},\frac{1}{3}
"[-2,0]","[60,70]"
\varphi,-\frac{3}{2}
2 \sin C,\ln |x-y|<0
x^{4},S_{5}
1=0,"(0,1)"
|k|>\sqrt{3},A C=4
\beta,-\frac{3}{2}
"(-\infty,+\infty)",\ln |x-y|<0
T_{n},\left\{a_{n}\right\}
"x \in[a, b]",\ln |x-y|<0
"C, D","(-\infty, a)"
y=\pm 2 x,\ln |x-y|<0
A \cap B,60 \sim 65
M \cap N,A C=4
A B=\bar{j},A C=4
x_{1},\left\{a_{n}
S_{1 n},\left\{a_{n}\right\}
"\theta \in(0, \pi)",60 \sim 65
\frac{25}{2},\frac{16}{3}
k \geqslant 0,y=\sin x
\frac{1}{5},\frac{16}{3}
l_{1},A_{1}
"F(-c, 0)",\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"x, y",\left\{a_{n}\right\}
z=1+\mathrm{i},y=\sin x
"A, B",\sqrt{3}+1
F_{2},F_{2}
y=\{x\},y=f(x)
P B C \perp,A C=4
a b<0,"(-\infty, a)"
\overrightarrow{O A}=,\ln |x-y|<0
C_{2},T_{n}
C_{2},T_{n}
B C \perp A D,60 \sim 65
2 \sqrt{6},\sqrt{3}+1
f(x),f(x)
"[1,2]","[0,1]"
n \in,\sqrt{3}+1
g(x),f(x)
P_{2},T_{n}
S_{n},S_{5}
a \geqslant 1,c<\frac{1}{4}
"m, n",\left\{a_{n}\right\}
"(0,1]","[0,1]"
x \in \mathbf{R},60^{\circ}
x+2 y-3=0,\ln |x-y|<0
\overrightarrow{A C}=a,60 \sim 65
S_{n},z=\frac{1}{3}
D D_{1},m / / n
"[t, t+1]","[t, t+1]"
\{0\},"(0,1)"
"[90,94)",60 \sim 65
P A \perp,c<\frac{1}
2 n,S_{5}
"(1,1)","(0,1)"
\frac{\pi}{4},\frac{16}{3}
R^{2},A C=4
f(x),f(x)
\frac{1}{2},\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\overrightarrow{P()},f(x)
\lambda \overrightarrow{A B},A C=4
|\boldsymbol{a}|=1,"[0,1]"
a=,z=
a \perp \alpha,"(-\infty, a)"
"[0,+\infty)","(0,1)"
\frac{5 \pi}{6},\frac{16}{3}
(A \neq 0),"(-\infty, a)"
3: 0,"(0,1)"
n>l>m,\ln |x-y|<0
\{x \mid x<0\},"[60,70]"
\text { I },\left\{a_{n}\right\}
a<c<b,A C=4
l_{1},A D_{1}
a_{1}=1,\ln |x-y|<0
"N(2,9)","(-\infty, a)"
m>1,c<\frac{1}{4}
x=1,c<\frac{1}{4}
\frac{\pi}{3},\frac{16}{3}
\triangle A B C,\triangle A B C
n \in \mathbf{N},"\{2,3,4\}"
f(x),f(x)
a=1,A C=4
A I D=1,A C=4
g(x)=4-,y=\sin x
a \in \mathbf{R},"(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle A B F,\triangle A B C
x+,\boldsymbol{e}_{1}
D B_{1},A C \perp B C
\odot O_{1},"(0,1)"
a>c>b,60 \sim 65
f(x),"(0, a)"
C_{1},"(0,1)"
A B=A D=1,\ln |x-y|<0
3,z=\frac{1}
p \wedge q,\sqrt{3}+1
A D,\triangle A B C
E\left(X_{2}\right),60 \sim 65
f^{\prime}(x),f(x)
a_{10}=,a_{n}\right\}
a=7,T_{n}
\frac{1}{4},\frac{1}{3}
f(2)=1,\ln |x-y|<0
"[40,70)",60 \sim 65
2 \sqrt{21},c<\frac{1}{4}
C_{1},"(-\infty, a)"
1 \sim 5,\left\{a_{n}\right\}
1: 2: 3,\sqrt{3}+1
\frac{1}{10},\boldsymbol{F}_{1}
y=\cos |2 x|,\ln |x-y|<0
f(x),(x)
\overrightarrow{E D}=,A C=4
"a=(2,-6)",60 \sim 65
T=T+a,\ln |x-y|<0
4 \pi,\boldsymbol{e}_{1}
60 \%,"(-\infty, a)"
"\{1,7\}",\left\{a_{n}\right\}
\frac{\pi}{2},\frac{\pi}{3}
V(r),(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
O-x y z,60 a_{n}
\frac{x y}{\approx},\frac{16}{3}
x,A C=4
A \cap B,\triangle A B C
f(x) \geqslant 4,A C=4
f(x),f(x)
5-i,c<\frac{1}{4}
x \geqslant 0,\sqrt{3}
a_{n},\left\{a_{n}\right\}
f(x),(x)
\frac{3}{28},\frac{16}{3}
z=3 x-4 y,60 \sim 65
"P(0,0)",60 \sim 65
C_{1} D,"(0,1)"
A C,A D_{1}
P(X=3)=,A C=4
"[2,2.5]","\{2,3,4\}"
\left\{a_{n}\right\},\left\{a_{n}\right\}
x=\frac{\pi}{2},-\frac{\pi}{6}
f(f(15)),\left\{a_{n}\right\}
x=1,x_{1}
x O y,\left\{a_{n}\right\}
\frac{\pi}{3},\frac{\pi}{3}
\angle C,\triangle B P Q
S_{19}=38,\ln |x-y|<0
"(1,1)","(0,1)"
\left\{c_{n}\right\},\left\{a_{n}\right\}
"(-\infty, 1)","(-\infty, a)"
f(-1)=0,\ln |x-y|<0
\alpha,\frac{16}{3}
\triangle A B C,\triangle B P Q
p \wedge(\neg q),\ln |x-y|<0
\frac{3}{4},\frac{16}{3}
"\text { (2, }",(\rho \geqslant 0)
n / / \beta,m / / n
m+n,\left\{a_{n}\right\}
l_{2},\sqrt{3}
b<0,60 \sim 65
\alpha,\boldsymbol{e}_{1}
f(x),f(x)
P Q,T_{n}
\frac{\pi}{3},\frac{16}{3}
\triangle A B C,\triangle A B C
f(x),f(x)
|r|,y+5=0
A-P B-C,\ln |x-y|<0
f^{\prime}(2),"(-\infty, a)"
f(x),"(0, a)"
1,A D_{1}
9 \%,"(-\infty, a)"
2 k+1,c<\frac{1}{4}
f^{\prime}(x),f(x)
O M=1,\left\{a_{n}\right\}
"P(-1,1)","\{2, a)"
x O y,\left\{a_{n}\right\}
y=k x-1,c<\frac{1}{4}
B_{1},\sqrt{3}
k=1,x_{1}
\perp O B,"[60,70]"
f(x)=,f(x)
a=2,\sqrt{3}+1
"B(4,2)",60 \sim 65
E(X),y)
\lambda|\overrightarrow{A C}|,"\{2, a_{1}"
\alpha,S_{5}
f(x),f(x)
a+b=1,\left\{a_{n}\right\}
"(4,6)","(-\infty, a)"
\pi,\left\{a_{n}\right\}
g(x),g(x)
\cos 2 \alpha>0,\ln |x-y|<0
\boldsymbol{a},T_{n}
-\frac{\pi}{2},-\frac{\pi}{6}
\frac{\pi}{6},\frac{16}{3}
S_{n},\frac{1}{3}
\text { AIS },\sqrt{3}+1
f(x),f(x)
f(x)>0,\triangle B C Q
g(x),f(x)
\triangle G H I,\triangle A B C
y=|x-1|,x+y+8=x y
|\boldsymbol{a}|=1,"[0,1]"
|a|=|b|,"[0,1]"
"(1,2)",(\rho \geqslant 0)
q_{1} \cdot q,\left\{a_{n}\right\}
"P(x, y)","(-\infty, a)"
C D=3,"(-\infty, a)"
30^{\circ},60^{\circ}
g(x),g(x)
\frac{17}{5},\frac{16}{3}
\frac{4}{3},\frac{\pi}{3}
S_{n},\sqrt{3}+1
x_{1},\left\{a_{n}
f(1)=\bar{s},60 \sim 65
\overrightarrow{B C},\left\{a_{n}\right\}
"(0, f(0))",60 \sim 65
\frac{6}{5},\frac{16}{3}
x \pm 2 y=0,x+y+8=x y
"(2, \sqrt{2})","(-\infty, a)"
x=\frac{\pi}{8},-\frac{\pi}{6}
\frac{\pi}{4},\frac{\pi}{3}
x,S_{5}
a_{1},\boldsymbol{e}_{1}
\frac{5}{9},\frac{16}{3}
"[1,2]","[60,70]"
\text { Als },\triangle B C
C C_{1},5(3+\sqrt{3})
"[0,+\infty)",\ln |x-y|<0
\sqrt{2},\sqrt{3}
A B C D-,\ln |x-y|<0
g(1)=,\ln |x-y|<0
"(a-1, a+","[60, a_{n"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"x, y",y)
-\frac{3}{4},\frac{\pi}{3}
-f(x),(x)
\frac{\pi}{4},\frac{\pi}{3}
\sqrt{3},\sqrt{3}
f(x),(x)
f(x),(x)
\cos \theta=,"(-\infty, a)"
a<5,\boldsymbol{F}
"[0,210]","[60,70]"
2+2 \sqrt{2},"(-\infty, a)"
"P(x, y)",\left\{a_{n}\right\}
n>7,T_{n}
a=2 \sqrt{7},\sqrt{3}+1
x=-2,\left\{a_{n}\right\}
"(0,+\infty)","(-\infty, a)"
\sin (\alpha+\beta)=,60 \sim 65
A_{7},\boldsymbol{e}_{1}
3 a+4 b=0,\triangle A B C
01,A C=\frac{1}
y=f(x),y=\sin x
\frac{2}{3},\frac{\pi}{3}
k_{0},\left\{a_{n}\right\}
a=,S_{5}
a \geqslant 2,\boldsymbol{e}_{1}
"\{-1,0,1\}","[1,3]"
a_{2},\frac{1}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{17}{15},\frac{16}{3}
\frac{\pi}{6},\frac{16}{3}
m=,\left\{a_{n}\right\}
"A(1,0)","(-\infty, a)"
2 x^{2},-\frac{\pi}{6}
"a>1, b>0",c<\frac{1}{4}
\left\{a_{n}-1\right\},a_{i}=
x+y-,y=\sin x
y^{2}=4 x,a_{i}=
S_{n},\left\{a_{n}\right\}
\left\{b_{n}\right\},\left\{a_{n}\right\}
2 \times 2,60 \sim 65
"C(0,2)","(-\infty, a)"
"(0,2]","(0,1)"
"n=1,2, \cdots",\ln |x-y|<0
d>0,"(0,1)"
F_{1},T_{n}
2 x+y+1=0,\left\{a_{n}\right\}
"[92,100]",\ln |x-y|<0
M_{2},T_{n}
|\overrightarrow{M N}|,m / / n
a>b>0,"(-\infty, a)"
\triangle A B C,\triangle A B C
n \in \mathbf{N},\sqrt{3}
\left\{b_{m}\right\},\left\{a_{n}\right\}
a \in,x \in
V_{1},\boldsymbol{e}_{1}
"A(0, a)","(-\infty, a)"
y=f(x),60 \sim 65
\frac{1}{5},\frac{1}{3}
0<a<3,"(-\infty, a)"
"(x, y)",\left\{a_{n}\right\}
4 \sqrt{3},\sqrt{3}
"(0,+\infty)","(-\infty, a)"
"m=\lambda n """,\left\{a_{n}\right\}
\text { b) },T_{n}
f(x),f(x)
y=,c<\frac{1}
S_{n}>0,"(0,1)"
20 \%,60 \sim 65
a \in \mathbf{R},\left\{a_{n}\right\}
|a+b+c|,y)
f(-1)=0,"(-\infty, a)"
[x]^{2}+,x+y+8=x y
2 \times 2,\sqrt{3}+1
z<x<y,c<\frac{1}{4}
\theta=\frac{\pi}{6},-\frac{\pi}{3}
A B=2,z=
a / / b,m / / n
a=2,\sqrt{3}
A B C D,60 \sim 65
f(x),"(0,1)"
f(x),f(x)
m+n>1,\left\{a_{n}\right\}
\triangle A F G,\triangle B P Q
2+i,c<\frac{1}{4}
\frac{\pi}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
f(x),(x)
"a>0, b>0",\ln |x-y|<0
k_{2},\sqrt{3}
"O M, O N",60 \sim 65
l: y=g(x),"(-\infty, a)"
f(x),f(x)
m<n,c<\frac{1}{4}
f(x)=,y)
h(. x),"(0, a)"
40^{\circ},60 \sim 65
x=-2,z=\frac{2}
x=a,\left\{a_{n}\right\}
\cos \alpha-\sin \alpha,\ln |x-y|<0
\{1\},"[0,1]"
y=,z=
"F(-(, 0)",\ln |x-y|<0
"(0,+\infty)","(-\infty, a)"
S_{n},T_{n}
P-A B C,\ln |x-y|<0
